MAKANAN,BAHAN,BERAT (kg),Total_emissions (1kg CC / kg),Carbon Footprint
sweet-martabak,sugar,0.025,0.66,0.0165
bread,sugar,0.005,0.66,0.0033000000000000004
chicken-satay,sugar,0.01,0.66,0.006600000000000001
donut,sugar,0.01,0.66,0.006600000000000001
sweet-martabak,baking powder,0.003,0.3,0.0009
donut,baking powder,0.005,0.3,0.0015
sweet-martabak,milk,0.05,2.2,0.11000000000000001
milk,milk,0.25,2.2,0.55
fried-shrimp,milk,0.03,2.2,0.066
donut,milk,0.02,2.2,0.044000000000000004
sweet-martabak,butter,0.025,17.0,0.42500000000000004
sweet-martabak,vanilla extract,0.001,3.2,0.0032
fried-rice,peas,0.025,0.27,0.006750000000000001
fried-rice,soy sauce,0.01,1.2,0.012
fried-tofu,soy sauce,0.015,1.2,0.018
fried-tempeh,soy sauce,0.002,1.2,0.0024
dumpling,soy sauce,0.005,1.2,0.006
fried-banana,banana,0.1,0.64,0.064
banana,banana,0.1,0.64,0.064
rawon,beef,0.15,59.6,8.94
rendang,beef,0.25,59.6,14.9
rawon,kluwek nut,0.01,0.4,0.004
rawon,kemiri nut,0.01,4.5,0.045
rawon,lemongrass,0.01,0.5,0.005
rendang,lemongrass,0.01,0.5,0.005
rendang,chili,0.01,1.6,0.016
rendang,brown sugar,0.03,0.47,0.014099999999999998
rendang,shallot,0.02,0.35,0.006999999999999999
rendang,turmeric,0.003,4.0,0.012
soto,turmeric,0.005,4.0,0.02
rendang,coriander,0.003,0.6,0.0018
soto,coriander,0.01,0.6,0.006
rendang,cumin,0.003,0.72,0.00216
soto,cumin,0.01,0.72,0.0072
bread,yeast,0.005,3.2,0.016
chicken-satay,ground coriander,0.002,0.71,0.00142
chicken-satay,ground cumin,0.002,2.3,0.0046
chicken-satay,ground turmeric,0.002,4.0,0.008
steak,meat,0.15,10.0,1.5
fried-tofu,tofu,0.2,1.3,0.26
tea,tea leaves,0.002,0.3,0.0006
fried-tempeh,tempeh,0.2,0.3,0.06
fried-shrimp,shrimp,0.1,11.8,1.1800000000000002
hamburger,ground beef,0.1,20.0,2.0
hamburger,bread roll,0.05,1.0,0.05
hamburger,cheese,0.025,10.0,0.25
hamburger,lettuce,0.025,0.57,0.014249999999999999
hamburger,tomato,0.025,1.42,0.0355
hamburger,mustard,0.005,1.5,0.0075
hamburger,ketchup,0.005,1.1,0.0055000000000000005
dumpling,ground pork,0.05,12.1,0.605
dumpling,green onion,0.01,0.26,0.0026000000000000003
dumpling,sesame oil,0.005,2.3,0.0115
